,city,lat,lng,max_temp,humidity,cloudiness,windspeed,country,date,max_temp_cel
0,amderma,,,,,,,,,
1,staroutkinsk,57.2302,59.3348,288.34,96.0,100.0,2.57,RU,1624124622.0,15.189999999999998
2,busselton,-33.65,115.3333,286.51,85.0,100.0,4.13,AU,1624124247.0,13.360000000000014
3,carnarvon,-24.8667,113.6333,283.19,44.0,40.0,1.54,AU,1624124020.0,10.04000000000002
4,mataura,-46.1927,168.8643,273.97,98.0,23.0,1.31,NZ,1624124219.0,0.82000000000005
5,hermanus,-34.4187,19.2345,294.21,49.0,30.0,3.26,ZA,1624124246.0,21.060000000000002
6,bluff,-46.6,168.3333,274.15,87.0,9.0,4.06,NZ,1624124225.0,1.0
7,la ronge,55.1001,-105.2842,288.29,67.0,75.0,3.09,CA,1624124306.0,15.140000000000043
8,victoria,22.2855,114.1577,303.89,83.0,99.0,0.45,HK,1624124024.0,30.74000000000001
9,iqaluit,63.7506,-68.5145,277.0,75.0,75.0,4.02,CA,1624124256.0,3.8500000000000227
10,rikitea,-23.1203,-134.9692,297.14,73.0,91.0,7.58,PF,1624124219.0,23.99000000000001
11,avarua,-21.2078,-159.775,297.18,73.0,40.0,5.66,CK,1624124273.0,24.03000000000003
12,malindi,-3.2175,40.1191,299.24,69.0,20.0,7.72,KE,1624124623.0,26.090000000000032
13,plettenberg bay,-34.0527,23.3716,290.88,45.0,17.0,2.2,ZA,1624124623.0,17.730000000000018
14,taolanaro,,,,,,,,,
15,yellowknife,62.456,-114.3525,283.46,53.0,75.0,5.14,CA,1624124406.0,10.310000000000002
16,kamra,33.7473,73.5111,299.79,33.0,13.0,3.97,PK,1624124624.0,26.640000000000043
17,cherskiy,68.75,161.3,283.39,54.0,27.0,1.94,RU,1624124275.0,10.240000000000009
18,hobart,-42.8794,147.3294,281.51,92.0,90.0,0.0,AU,1624124222.0,8.360000000000014
19,waingapu,-9.6567,120.2641,297.14,90.0,15.0,2.9,ID,1624124624.0,23.99000000000001
20,esperance,-33.8667,121.9,283.06,59.0,98.0,7.46,AU,1624124315.0,9.910000000000025
21,astana,51.1801,71.446,285.12,58.0,0.0,4.0,KZ,1624124521.0,11.970000000000027
22,sanok,49.5557,22.2056,296.16,100.0,68.0,3.33,PL,1624124625.0,23.010000000000048
23,touros,-5.1989,-35.4608,299.65,68.0,29.0,6.94,BR,1624124257.0,26.5
24,hasaki,35.7333,140.8333,292.37,91.0,100.0,6.25,JP,1624124260.0,19.220000000000027
25,ranong,9.9658,98.6348,299.99,83.0,40.0,2.96,TH,1624124625.0,26.840000000000032
26,bonavista,48.6499,-53.1147,299.15,83.0,100.0,5.81,CA,1624124626.0,26.0
27,pimentel,-6.8367,-79.9342,297.31,78.0,20.0,2.68,PE,1624124264.0,24.160000000000025
28,ushuaia,-54.8,-68.3,278.96,81.0,75.0,6.17,AR,1624123998.0,5.810000000000002
29,bubaque,11.2833,-15.8333,299.67,80.0,88.0,7.38,GW,1624124280.0,26.52000000000004
30,gueret,46.1667,1.8667,292.5,96.0,98.0,2.59,FR,1624124626.0,19.350000000000023
31,khatanga,71.9667,102.5,286.0,69.0,90.0,5.97,RU,1624124253.0,12.850000000000023
32,barrow,71.2906,-156.7887,279.16,75.0,1.0,2.06,US,1624124217.0,6.010000000000048
33,bloomingdale,27.8936,-82.2404,307.57,68.0,40.0,1.79,US,1624124627.0,34.420000000000016
34,nizhneyansk,,,,,,,,,
35,saint george,37.1041,-113.5841,310.12,17.0,1.0,0.89,US,1624124327.0,36.97000000000003
36,punta arenas,-53.15,-70.9167,280.21,61.0,40.0,5.66,CL,1624124227.0,7.060000000000002
37,jaltenango,15.8719,-92.7247,302.23,66.0,78.0,1.35,MX,1624124627.0,29.08000000000004
38,tabiauea,,,,,,,,,
39,marand,38.4329,45.7749,301.34,31.0,18.0,4.13,IR,1624124628.0,28.189999999999998
40,emba,48.8264,58.1442,293.45,40.0,20.0,3.14,KZ,1624124254.0,20.30000000000001
41,rundu,-17.9333,19.7667,289.33,35.0,0.0,2.7,NA,1624124628.0,16.180000000000007
42,new norfolk,-42.7826,147.0587,281.32,87.0,85.0,0.45,AU,1624124238.0,8.170000000000016
43,limon,10.0,-83.0333,302.09,79.0,40.0,3.09,CR,1624124628.0,28.939999999999998
44,mingrelskaya,45.0134,38.3379,302.3,62.0,36.0,7.28,RU,1624124629.0,29.150000000000034
45,bajo baudo,,,,,,,,,
